,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13,Sun_Zenith_Angle,clear,thin,thick
45631,0.44683,0.43259,0.40353,0.52218,0.74275,0.7494,0.72774,0.75428,0.44679,0.08073,0.45191,0.26868,71.5,0.0,0.0,1.0
9011,0.55921,0.61573,0.59003,0.81427,0.84177,0.87032,0.805,0.88874,0.51716,0.24805,0.52746,0.32239,60.48,0.0,0.0,1.0
65435,0.46228,0.62234,0.9249,0.9368,0.96204,0.98276,0.92981,0.9972,0.29935,0.0007,0.94241,0.89125,54.96,1.0,0.0,0.0
38750,0.29229,0.31205,0.2211,0.42925,0.77586,0.77943,0.76737,0.7831,0.5134,0.01936,0.68717,0.49202,73.71,0.0,1.0,0.0
15588,0.47601,0.44989,0.44348,0.52657,0.73405,0.74923,0.71147,0.76134,0.26767,0.00184,0.53776,0.42811,72.39,0.0,0.0,1.0
153638,0.41239,0.38984,0.37224,0.51261,0.7586,0.76266,0.75716,0.76769,0.5794,0.05072,0.10865,0.1189,79.12,0.0,0.0,1.0
84923,0.28419,0.4191,0.23646,0.52336,0.90106,0.95798,0.84582,0.9907,0.07209,0.00033,0.82604,0.37076,53.72,1.0,0.0,0.0
125929,0.62387,0.58381,0.60044,0.64979,0.88363,0.89893,0.85181,0.90895,0.56899,0.12286,0.10225,0.12523,64.53,0.0,0.0,1.0
183322,0.62007,0.58303,0.59359,0.62267,0.77346,0.82856,0.72604,0.8618,0.22821,0.00203,0.23557,0.20116,68.04,0.0,0.0,1.0
73151,0.28345,0.36459,0.2407,0.46198,0.89644,0.95561,0.83995,0.98988,0.06324,0.0004,0.90667,0.37672,55.33,1.0,0.0,0.0
59571,0.18876,0.26288,0.13119,0.33844,0.85174,0.95559,0.88731,0.97675,0.19813,0.00035,0.47312,0.20345,60.87,1.0,0.0,0.0
95612,0.25263,0.329,0.21455,0.47914,0.95844,0.97618,0.93475,0.99207,0.35739,0.00071,0.77622,0.39957,67.99,1.0,0.0,0.0
43973,0.58792,0.61053,0.57341,0.66884,1.06066,1.08758,1.01519,1.10489,0.26746,0.00051,0.70116,0.48408,36.99,0.0,0.0,1.0
136169,0.84015,0.79764,0.82546,0.84303,0.96017,0.96319,0.92241,0.95809,0.73788,0.16833,0.09735,0.12098,46.18,0.0,0.0,1.0
99200,0.97235,0.90386,0.93818,0.88581,0.92659,0.96852,0.88248,0.99344,0.14782,0.00048,0.94108,0.85291,56.93,1.0,0.0,0.0
91742,0.16245,0.2517,0.13759,0.36594,0.95643,0.98084,0.92487,0.99652,0.29587,0.00033,0.57164,0.24386,47.9,1.0,0.0,0.0
134669,0.5844,0.4567,0.52242,0.56108,0.64375,0.64797,0.62388,0.64718,0.3662,0.00631,0.06458,0.07542,83.75,0.0,0.0,1.0
60263,0.22449,0.33553,0.18393,0.58441,0.94566,0.97094,0.91852,0.99072,0.28832,0.00061,0.80036,0.31568,69.23,1.0,0.0,0.0
189993,0.60382,0.57963,0.62084,0.63131,0.64683,0.66257,0.65137,0.67741,0.43624,0.14082,0.23988,0.21711,34.48,0.0,0.0,1.0
117740,0.9274,0.85274,0.90606,0.90342,0.92524,0.93936,0.89617,0.95083,0.43364,0.02555,0.0972,0.11577,60.82,0.0,0.0,1.0
135274,0.41701,0.48518,0.38458,0.61689,0.99293,1.00104,0.97141,1.00789,0.5315,0.01061,0.11782,0.11187,48.47,0.0,0.0,1.0
69453,0.28902,0.304,0.23467,0.37719,0.85725,0.92664,0.8069,0.97359,0.04635,0.00062,0.83017,0.3568,77.02,1.0,0.0,0.0
196818,0.4998,0.54133,0.5296,0.78734,0.8009,0.80562,0.79427,0.81077,0.54725,0.02856,0.12757,0.14374,75.97,0.0,0.0,1.0
3839,0.48242,0.49653,0.72293,0.88852,0.92141,0.92962,0.90334,0.93755,0.56389,0.13969,0.7738,0.53025,56.24,0.0,0.0,1.0
142168,0.40868,0.43689,0.37594,0.52877,0.87244,0.9145,0.82092,0.94406,0.26478,0.06798,0.35577,0.25081,62.93,0.0,0.0,1.0
195799,0.67348,0.60784,0.6448,0.68349,0.7985,0.80678,0.77415,0.81005,0.5365,0.05161,0.08051,0.09856,73.92,0.0,0.0,1.0
175244,0.50494,0.44909,0.45201,0.51787,0.63748,0.65061,0.61676,0.6579,0.35496,0.04331,0.3213,0.23721,77.2,0.0,0.0,1.0
33534,0.3031,0.51901,0.26492,0.69674,0.91467,0.95506,0.878,0.98239,0.1581,0.00057,0.78982,0.43465,69.23,1.0,0.0,0.0
197441,0.89429,0.85779,0.87507,0.89016,0.94901,0.9712,0.91269,0.98146,0.8329,0.29613,0.09743,0.12126,34.88,0.0,0.0,1.0
48988,0.51212,0.4746,0.48138,0.52439,0.67852,0.71928,0.64743,0.74527,0.37355,0.06316,0.40066,0.25654,71.88,0.0,0.0,1.0
28519,0.7655,0.80129,0.8313,0.75693,0.80748,0.85908,0.75319,0.89011,0.0811,0.00038,0.71043,0.49571,60.36,0.0,0.0,1.0
83395,0.23165,0.20545,0.20697,0.19857,0.21237,0.231,0.2172,0.24264,0.03853,0.00035,0.20225,0.21069,62.65,1.0,0.0,0.0
81029,0.27753,0.28806,0.21585,0.4207,0.92406,0.94804,0.91636,0.97482,0.36307,0.00119,0.80832,0.42072,80.07,1.0,0.0,0.0
68032,0.10973,0.14148,0.08649,0.21786,0.71725,0.85418,0.88466,0.92235,0.6799,0.03535,0.39624,0.16191,41.55,1.0,0.0,0.0
182291,0.6039,0.61496,0.5648,0.61871,0.86035,0.9701,0.77011,1.03406,0.17147,0.00913,0.15479,0.13083,31.04,0.0,0.0,1.0
179192,0.60786,0.57449,0.59557,0.62053,0.75936,0.84209,0.76472,0.8701,0.4417,0.04448,0.52857,0.41049,61.72,0.0,0.0,1.0
