,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13,Sun_Zenith_Angle,clear,thin,thick
16771,0.16811,0.24182,0.14979,0.40612,0.98539,0.99127,0.97912,0.99811,0.68425,0.02961,0.58943,0.26913,57.57,1.0,0.0,0.0
120969,0.77365,0.65911,0.737,0.63133,0.71606,0.80833,0.66305,0.86436,0.06589,0.00886,0.68937,0.21592,80.37,1.0,0.0,0.0
104034,0.50367,0.50234,0.47146,0.53183,0.81204,0.90217,0.75012,0.95894,0.37747,0.19394,0.16995,0.16729,55.37,0.0,0.0,1.0
26471,0.30644,0.42286,0.7577,0.84888,0.95765,1.05351,1.02063,1.0866,0.44723,0.02123,0.95238,0.80521,40.23,0.0,0.0,1.0
43166,0.59165,0.59125,0.76091,0.85116,0.88734,0.9044,0.85555,0.91789,0.32352,0.00379,0.80176,0.67643,59.29,0.0,0.0,1.0
199564,0.55751,0.46517,0.51576,0.57083,0.69173,0.6959,0.69103,0.70017,0.60631,0.27056,0.13628,0.15759,82.54,0.0,0.0,1.0
193091,0.4904,0.48851,0.45805,0.52337,0.78398,0.90451,0.77829,0.94666,0.33851,0.02599,0.0975,0.11496,54.54,0.0,0.0,1.0
149132,0.8251,0.78703,0.80945,0.82804,0.99143,0.98385,0.9542,0.96815,0.71743,0.14524,0.0707,0.08964,33.94,0.0,0.0,1.0
59402,0.36722,0.34764,0.36658,0.33858,0.35878,0.37748,0.33246,0.36859,0.04112,0.00035,0.25075,0.21975,37.27,0.0,1.0,0.0
6130,0.81935,0.79161,0.84596,0.84863,0.87542,0.90309,0.87991,0.95797,0.43942,0.01613,0.69766,0.53483,33.54,0.0,0.0,1.0
171919,0.63666,0.62306,0.61843,0.69329,0.93335,0.94922,0.89497,0.95976,0.49342,0.04005,0.10761,0.13102,56.2,0.0,0.0,1.0
98917,0.27042,0.28753,0.19184,0.39708,0.88539,0.9301,0.85771,0.96942,0.13336,0.0015,0.85793,0.49706,81.27,1.0,0.0,0.0
149058,0.49012,0.46723,0.45726,0.58234,0.77243,0.79125,0.74436,0.80503,0.29027,0.00151,0.09906,0.1132,76.46,0.0,0.0,1.0
71885,0.17193,0.21382,0.10284,0.29549,0.82369,0.93061,0.85744,0.95609,0.15423,0.00071,0.54849,0.24313,75.9,1.0,0.0,0.0
75856,0.24266,0.41041,0.20172,0.60019,0.98498,0.99296,0.96971,1.00015,0.56754,0.00804,0.78353,0.37701,43.48,1.0,0.0,0.0
69020,0.99033,0.92741,0.96833,0.98314,0.99265,0.99656,0.98522,1.0006,0.7256,0.06279,0.13099,0.19321,46.48,0.0,1.0,0.0
20612,0.47673,0.46945,0.56138,0.60943,0.66591,0.73741,0.79941,0.90461,0.43953,0.01342,0.6811,0.43731,54.34,0.0,0.0,1.0
123686,0.86721,0.82161,0.86829,0.88011,0.8912,0.90654,0.88576,0.91394,0.80465,0.22861,0.11688,0.13841,46.75,0.0,0.0,1.0
52193,0.26044,0.36419,0.20024,0.57138,0.94467,0.96274,0.93526,0.98262,0.42901,0.00144,0.75306,0.35375,76.63,1.0,0.0,0.0
90896,0.27724,0.39179,0.23815,0.55799,0.97025,0.98514,0.94401,0.9972,0.38078,0.00058,0.68758,0.36301,54.65,1.0,0.0,0.0
57946,0.16703,0.20544,0.33379,0.35597,0.42887,0.51247,0.5159,0.63503,0.0559,0.00045,0.9236,0.77753,61.53,1.0,0.0,0.0
124651,0.60734,0.61119,0.79218,0.83424,0.88345,0.89758,0.84468,0.8811,0.48861,0.16052,0.19216,0.23206,49.65,0.0,0.0,1.0
