,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13,Sun_Zenith_Angle
69398,0.32962,0.37909,0.40604,0.49424,0.70135,0.75155,0.73435,0.79186,0.27627,0.00056,0.70982,0.53493,62.66
23431,0.42279,0.38761,0.43848,0.47706,0.55155,0.57906,0.587,0.60205,0.47417,0.07955,0.53761,0.38577,71.48
5891,0.62365,0.54076,0.58304,0.604,0.61645,0.62221,0.61464,0.62876,0.43585,0.06431,0.53003,0.4475,76.21
158074,0.62701,0.5746,0.62316,0.64992,0.68814,0.69746,0.67989,0.69237,0.49798,0.04341,0.07924,0.09641,71.61
165640,0.59275,0.54374,0.56929,0.57453,0.58395,0.58965,0.57438,0.59456,0.32234,0.0099,0.41279,0.32001,59.86
140838,0.5355,0.43029,0.48548,0.51707,0.53748,0.54504,0.5362,0.55111,0.36819,0.01768,0.09668,0.11264,83.26
29627,0.24864,0.27592,0.3711,0.47125,0.65249,0.73674,0.76865,0.81071,0.54251,0.01965,0.73184,0.50723,69.61
15503,0.31541,0.36398,0.40293,0.47256,0.73811,0.83867,0.81299,0.88702,0.27487,0.00064,0.73998,0.48283,45.51
168949,0.67498,0.64765,0.66425,0.67607,0.71575,0.73307,0.70134,0.74234,0.48056,0.05534,0.07635,0.09391,34.52
122466,0.63109,0.60201,0.63302,0.64778,0.77266,0.86585,0.78098,0.93078,0.37784,0.01069,0.06479,0.08172,57.91
149204,0.82023,0.77343,0.80358,0.81082,0.819,0.82143,0.80567,0.81966,0.6626,0.1111,0.06577,0.08366,50.74
22318,0.16944,0.14272,0.12832,0.15463,0.26374,0.28701,0.27168,0.29289,0.08673,0.00052,0.19994,0.15901,66.13
124781,0.20657,0.22712,0.27279,0.32289,0.45061,0.50702,0.52123,0.54567,0.37508,0.05198,0.37372,0.31971,32.36
30442,0.7263,0.68379,0.72064,0.71434,0.74747,0.77516,0.72932,0.79434,0.26789,0.00093,0.56635,0.41526,56.54
